	&&	||	<=	const	for	do	float	while	long	switch	default	continue	else	record	id	[	]	if	case	==	!	void	#	break	%	double	(	)	*	+	,	-	int	/	boolean	char	short	unsigned	:	;	{	<	!=	}	=	return	>	>=
0	err	err	err	err	err	err	s3	err	s5	err	err	err	err	s4	err	err	err	err	err	err	err	s6	err	err	err	s12	err	err	err	err	err	err	s8	err	s11	s7	s2	s1	err	err	err	err	err	err	err	err	err	err
1	err	err	err	err	err	err	s3	err	s5	err	err	err	err	s4	err	err	err	err	err	err	err	s6	err	err	err	s12	err	err	err	err	err	err	s8	err	s11	s7	s2	s1	err	err	err	err	err	err	err	err	err	err
2	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r6	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
3	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r9	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
4	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r12	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
5	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r7	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
6	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r13	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
7	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r8	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
8	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r5	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
9	err	err	err	err	err	err	s3	err	s5	err	err	err	err	s4	err	err	err	err	err	err	err	s6	r3	err	err	s12	err	err	err	err	err	err	s8	err	s11	s7	s2	s1	err	err	err	err	err	err	err	err	err	err
