	iteration_stmt	case_stmt	bool_expression	item'	type	lop	func_body	P	result	compare_op	block_stmt	define_stmts	arg	logical_expression	block	vars	factor	value	assign_stmt	init	stmts	item	expression	branch_stmt	case_stmts	call_func	eps	define_stmt	equal_op	es	jump_stmt	args	isnull_expr	value'	func	funcs	default_stmt	operation	stmt
0					10			13																											9				
1					14																																		
2																																							
3																																							
4																																							
5																																							
6																																							
7																																							
8																																							
9					10																														16	15			
10																																							
11																																							
12																																							
13																																							
14																																							
15																																							
16					10																														16	19			
17																																							
18					21																											20							
19																																							
20																																							
21																																							
22													25																										
23							26								29																								
24					31																																		
25																																							
26																																							
27																																							
28					32							30																33											
29																																							
30	36																37	53	44		48	41	40	54							45								55
31																																							
32																																							
33					32							39																33											
34																																							
35													95																										
36																																							
37				68																																			
38																																							
39																																							
40																																							
41																																		82					
42																																							
43																	37	53				41	75										98						
44																																							
45																																							
46																	88	61				59																	
47																				86																			
48																																							
49																																							
50																																							
51																																							
52											80																												
53										94																			99									78	
54																																							
55	36																37	53	44		87	41	40	54							45								55
56																										64													
57																																							
58																																							
59																																		127					
60																																							
61																																							
62																	37					109																	
63																																							
64																																							
65																	103																						
66																																							
67														123			122	104				132	145																
68																																							
69																																							
70																																							
71														147			122	104				132	145																
72																	37					118																	
73																																							
74																																							
75																																							
76																																							
77																																							
78																																							
79																																							
80																																							
81																										136													
82																																							
83																																							
84																	108	115				138	105							155									
85	36																37	53	44		151	41	40	54							45								55
86																156																							
87																																							
88				126																																			
89																	125																						
90																																							
91																																							
92																	149	143				146	154																
93																	88	130				59																	
94																	152	106				153																	
95																																							
96																	37	53				41	75										150						
97																																							
98																																							
99																	152	102				153																	
100																	117																						
101																																							
102																																							
103				212																																			
104										195																			203									232	
105																											163												
106																																							
107																																							
108				194																																			
109																																		234					
110																	108	115				138	105							226									
111																	88	179				59																	
112																	122	104				132	241																
113																	88	165				59																	
114																										193													
115										180																			221									219	
116																																							
117				233																																			
118																																		190					
119																	237																						
120																										242													
121																																							
122				210																																			
123																																							
124																	88	164				59																	
125				235																																			
126																																							
127																																							
128																	88					167																	
129																																							
130																																							
131																																							
132																																		173					
133																																							
134																										236													
135																	88	202				59																	
136																																							
137																																							
138																																		188					
139																																							
140																	196																						
141																																							
142																	88					184																	
143										183																			211									225	
144																																							
145			177			178																																	
146																																		216					
147																																							
148																	176																						
149				198																																			
150																																							
151																																							
152				191																																			
153																																		218					
