	Bb	Bc	item	B	D	E	L	relop	M	N	P	S	T	para	M'	factor	Elist	Ba
0					7		12				6	2	4					
1																		
2																		
3			21			14										22		
4																		
5																		
6																		
7																		
8																		
9																		
10																		
11																		
12									25									
13																		
14																		
15																		
16																		
17																		
18																		
19																		
20																		
21																		
22																		
23	54	33	44	56		57										50		37
24																		
25					7							61	4					
26			46			47										43		
27									42									
28			21			31										22		
29			107													22		
30																99		
31																		
32	90	33	44			57										50		
33																		
34																		
35																		
36																		
37																		
38			46			66										43		
39	54	33	89	80		71										98		37
40																		
41																		
42	54	33	44	85		57										50		37
43																		
44																		
45																		
46																		
47																		
48			64													22		
49																		
50																		
51															63			
52																		
53																84		
54																		
55																		
56																		
57								73										
58																		
59																		
60			92			87										69	111	
61																		
62																		
63					124								134	127				
64																		
65			148													43		
66																		
67																		
68																		
69																		
70																		
71								73										
72																		
73			115			119										123		
74																133		
75																		
76																		
77																		
78																		
79																		
80																		
81																		
82																		
83																		
84																		
85																		
86	54	33	89	80		130										98		37
87																		
88									152									
89																		
90																		
91			146													50		
92																		
93																		
94																		
95																		
96																		
97																114		
98																		
99																		
100			92			87										69	118	
101									129									
102			141													43		
103			128													50		
104																138		
105																		
106			46			151										43		
107																		
108																		
109																		
110																145		
111																		
112			161													69		
113																154		
114																		
115																		
116																162		
117																157		
118																		
119																		
120																		
121			92			87										69	167	
122																		
123																		
124																		
125			175													98		
126																		
127																		
128																		
129	54	33	44			57										50		172
130								73										
131																		
132																		
133																		
134																		
135			177													98		
136																169		
137			46			179										43		
138																		
139									182									
140			92			87										69	156	
141																		
142																		
143			92			159										69		
144																		
145																		
146																		
147																		
148																		
149																		
150			183													69		
151																		
152	170	33	44			57										50		
153																		
154																		
155			198													123		
156																		
157																		
158																196		
159																		
160																		
161																		
162																		
163																		
164																		
165																		
166																		
167																		
168			92			87										69	187	
169																		
170																		
171																		
172																		
173			92			87										69	204	
174									184									
175																		
176																		
177																		
178					189								134					
179																		
180			192													123		
181																199		
182					197		194					203	193					
183																		
184					197		211					203	193					
185																		
186																		
187																		
188					197		218					203	193					
189																		
190																		
191			92			87										69	217	
192																		
193																		
194									212									
195			21			219										22		
196																		
197																		
198																		
199																		
200																		
201																		
202																		
203																		
204																		
205																		
206																		
207																		
208																		
209																		
210										225								
211									212									
212					197							231	193					
213																		
214									221									
215	54	33	44	223		57										50		37
216			21			224										22		
217																		
218									212									
219																		
220																		
221	54	33	44	238		57										50		37
222																		
223																		
224																		
225																		
226																		
227			92			87										69	237	
228															233			
229																		
230																		
231																		
232																		
233					124								134	239				
234																		
235																		
236																		
237																		
238																		
239																		
240									245									
241																		
242									244									
243																		
244					197		251					203	193					
245					197		250					203	193					
246																		
247																		
248									249									
249					197		254					203	193					
250									212									
251									212									
252					197		255					203	193					
253																		
254									212									
255									212									
256										257								
257																		
258																		
259																		
260																		
261									262									
262					197		263					203	193					
263									212									
264																		
